zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated,ls_id,lmi_id,pl_id
442946356,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",976,NULL,NULL
442968743,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",977,NULL,NULL
348583904,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",978,NULL,4727
442968863,0,0,1,0,0,0,0,1,0,"2024-11-27 06:13:47",979,NULL,NULL
36507947,0,0,0,0,1,0,0,0,0,"2024-11-27 06:13:47",980,NULL,4594
2056074502,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",981,NULL,4711
442968806,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",982,NULL,NULL
442968803,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",983,NULL,NULL
442970838,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",984,NULL,NULL
442920678,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",985,NULL,NULL
442916529,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",986,NULL,NULL
441765048,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",987,NULL,NULL
439236810,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",988,NULL,NULL
442968831,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",989,NULL,NULL
2056946632,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",990,NULL,4682
442968801,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",991,NULL,NULL
442946467,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",992,NULL,NULL
442968734,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",993,NULL,NULL
351786870,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",994,NULL,4620
2053578231,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",995,NULL,5151
442968745,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",996,NULL,NULL
2053348235,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",997,NULL,4616
27774515,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",998,NULL,4983
442916528,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",999,NULL,NULL
2054088327,0,0,1,0,0,0,0,0,0,"2024-11-27 06:13:47",1000,NULL,5111
