zpid,event,price,pricePerSquareFoot,priceChangeRate,dateOfEvent,source,postingIsRental,lastUpdated,lph_id,pl_id,lti_id
26342488,Sold,NULL,NULL,0,2003-10-21,,0,"2024-11-26 06:02:40",64,2169,79608
124720204,Sold,NULL,NULL,0,2016-02-22,,0,"2024-11-20 23:54:06",65,NULL,21036
60338542,Sold,NULL,NULL,0,2019-06-18,,0,"2024-11-26 06:02:40",66,NULL,87219
442154379,Sold,910000,NULL,0,2024-11-20,,0,"2024-11-21 00:24:35",67,NULL,NULL
68424147,Sold,NULL,NULL,0,2015-07-30,,0,"2024-11-20 23:54:06",68,12194,47038
92448877,Sold,1750,NULL,-0.99,2016-07-02,,0,"2024-11-26 06:02:40",69,2003,87191
7096188,Sold,68000,69,0,2015-05-05,,0,"2024-11-20 23:54:06",70,9789,11962
65068215,Sold,NULL,NULL,0,2024-11-20,,0,"2024-11-21 00:24:35",71,10278,2695
26767903,Sold,NULL,NULL,0,2013-06-14,,0,"2024-11-20 23:54:06",72,9512,10780
60095998,Sold,NULL,NULL,0,2018-08-25,,0,"2024-11-26 06:02:40",73,2239,101917
244868025,Sold,422500,NULL,0.03,2024-11-20,,0,"2024-11-21 00:24:35",74,12513,2725
80941480,Sold,125000,73,0,1990-10-16,,0,"2024-11-20 23:54:06",75,9021,9672
118216503,Sold,NULL,NULL,0,2017-07-06,,0,"2024-11-20 23:54:06",76,9747,11305
29436241,Sold,NULL,NULL,0,2014-03-24,,0,"2024-11-26 06:02:40",77,NULL,78679
26116586,Sold,NULL,NULL,0,2024-11-20,,0,"2024-11-21 00:24:35",78,10276,3670
6265502,Sold,90000,77,0,1995-04-21,,0,"2024-11-21 00:25:47",79,10079,2123
3668471,Sold,140000,NULL,0,1999-08-04,,0,"2024-11-26 06:02:40",80,NULL,101025
6265502,Sold,90000,77,0,1995-04-21,,0,"2024-11-21 00:21:31",81,10079,2123
29487678,Sold,NULL,NULL,0,2012-05-03,,0,"2024-11-26 06:02:40",82,NULL,76458
27845419,Sold,NULL,NULL,0,2018-02-03,,0,"2024-11-26 06:02:40",83,2108,75371
6265502,Sold,90000,77,0,1995-04-21,,0,"2024-11-21 00:24:35",84,10079,2123
27886314,Sold,NULL,NULL,0,2021-11-16,,0,"2024-11-26 06:02:40",85,2180,98941
6265502,Sold,90000,77,0,1995-04-21,,0,"2024-11-21 00:22:43",86,10079,2123
64441993,Sold,364500,NULL,-0.03,2016-07-21,,0,"2024-11-26 06:02:40",87,NULL,90822
58247439,Sold,NULL,NULL,0,2021-07-15,,0,"2024-11-20 23:54:06",88,12289,8015
6147813,Sold,185000,81,0,1997-06-30,,0,"2024-11-20 23:54:06",89,3464,11836
26361774,Sold,NULL,NULL,0,2019-07-30,,0,"2024-11-20 23:54:06",90,12256,39860
36610898,Sold,174500,101,0,2015-08-27,,0,"2024-11-20 23:54:06",91,NULL,11442
29432324,Sold,NULL,NULL,0,2017-04-21,,0,"2024-11-20 23:54:06",92,12304,4940
3869539,Sold,95000,146,0,1992-08-25,,0,"2024-11-20 23:54:06",93,NULL,25773
124395339,Sold,NULL,NULL,0,2015-06-16,,0,"2024-11-20 23:54:06",94,9753,10875
92193324,Sold,319000,162,-0.8,2011-01-24,,0,"2024-11-20 22:18:43",95,3507,11202
120771645,Sold,NULL,NULL,0,2018-03-14,,0,"2024-11-21 00:22:43",96,10281,693
26334872,Sold,NULL,NULL,0,2020-08-05,,0,"2024-11-20 23:54:06",97,12280,37505
92193324,Sold,319000,162,-0.8,2011-01-24,,0,"2024-11-20 23:54:06",98,3507,11202
29386526,Sold,NULL,NULL,0,2021-04-19,,0,"2024-11-20 23:54:06",99,NULL,11086
442154379,Sold,910000,NULL,0,2024-11-20,,0,"2024-11-21 00:22:43",100,NULL,NULL
63090615,Sold,360000,308,0,2012-03-09,,0,"2024-11-20 23:54:06",101,9860,10957
161433120,Sold,NULL,NULL,0,2018-03-24,,0,"2024-11-20 23:54:06",102,12734,11824
65068215,Sold,NULL,NULL,0,2024-11-20,,0,"2024-11-21 00:22:43",103,10278,2695
68668601,Sold,699000,616,2.93,2010-03-12,,0,"2024-11-20 23:54:06",104,9778,11400
102496406,Sold,NULL,NULL,0,2019-06-19,,0,"2024-11-20 23:54:06",105,12279,36871
2085288730,Sold,1300000,373,-0.05,2019-12-23,,0,"2024-11-20 23:54:06",106,12532,NULL
28205499,Sold,NULL,NULL,0,2024-03-13,,0,"2024-11-26 06:02:40",107,5031,94708
83124554,Sold,NULL,NULL,0,2012-11-19,,0,"2024-11-20 23:54:06",108,NULL,20703
80004699,Sold,820000,1300,0.4,2014-08-01,,0,"2024-11-20 23:54:06",109,11501,23866
29487678,Sold,NULL,NULL,0,2009-04-14,,0,"2024-11-26 06:02:40",110,NULL,76458
10294337,Sold,20000,NULL,3,2005-08-02,,0,"2024-11-20 23:54:06",111,NULL,18899
6932059,Sold,250000,131,0.59,2010-01-22,,0,"2024-11-20 23:54:06",112,NULL,23855
97630556,Sold,NULL,NULL,0,2002-05-01,,0,"2024-11-26 06:02:40",113,2184,80104
244868025,Sold,422500,NULL,0.03,2024-11-20,,0,"2024-11-21 00:22:43",114,12513,2725
26272984,Sold,NULL,NULL,0,2019-12-12,,0,"2024-11-20 23:54:06",115,9667,9853
29344721,Sold,NULL,NULL,0,2019-06-10,,0,"2024-11-26 06:02:40",116,2283,96783
2081600116,Sold,NULL,NULL,0,2021-04-30,,0,"2024-11-20 23:54:06",117,9674,NULL
28448834,Sold,NULL,NULL,0,2018-04-24,,0,"2024-11-26 06:02:40",118,2128,76694
26116586,Sold,NULL,NULL,0,2024-11-20,,0,"2024-11-21 00:22:43",119,10276,3670
26337359,Sold,NULL,NULL,0,2019-02-21,,0,"2024-11-20 23:54:06",120,NULL,21804
3861405,Sold,186000,NULL,0.82,2002-09-08,,0,"2024-11-26 06:02:40",121,NULL,93003
35932638,Sold,57000,NULL,-0.59,2008-06-20,,0,"2024-11-20 22:18:43",122,9139,11961
28267575,Sold,NULL,NULL,0,2011-10-13,,0,"2024-11-20 23:54:06",123,9597,13277
26905213,Sold,NULL,NULL,0,2016-05-28,,0,"2024-11-26 06:02:40",124,2193,89708
35932638,Sold,123000,NULL,1.16,2015-07-02,,0,"2024-11-20 22:18:43",125,9139,11961
