zpid,bucketType,rate,rateSource,lastUpdatedTimestamp,lastUpdatedDate,lmi_id,ls_id,lti_id
67646370,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:14:21",2024-11-20,191,7085,38597
41057949,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:17:22",2024-11-20,192,13751,11627
32188541,"Arm 5 Bucket",6.539,ZGMI,"2024-11-20 21:04:48",2024-11-20,193,7287,31165
442726475,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 21:24:22",2024-11-20,194,207,NULL
2056806452,"Arm 5 Bucket",6.539,ZGMI,"2024-11-20 20:23:13",2024-11-20,195,11440,NULL
41181827,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:04:47",2024-11-20,196,2836,11922
6146162,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:41:01",2024-11-20,197,7108,29219
41082878,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:14:10",2024-11-20,198,10916,11923
442720892,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 19:47:15",2024-11-20,199,37,NULL
41188328,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 21:12:24",2024-11-20,200,7824,50971
6239392,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:00:59",2024-11-20,201,11256,9884
41082911,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:39:45",2024-11-20,202,7971,11769
245780624,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 21:19:45",2024-11-20,203,11210,NULL
296614346,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 22:30:14",2024-11-20,204,15705,45241
51528454,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:38:00",2024-11-20,205,7425,5350
41155294,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 21:34:11",2024-11-20,206,10971,9722
442634530,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:40:08",2024-11-20,207,236,NULL
88526588,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 21:20:37",2024-11-20,208,7463,57565
41181240,"Arm 5 Bucket",7.348,ZGMI,"2024-11-20 23:03:55",2024-11-20,209,15087,11966
442736123,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 20:29:55",2024-11-20,210,769,NULL
442515561,"Arm 5 Bucket",6.741,ZGMI,"2024-11-20 19:39:04",2024-11-20,211,14119,NULL
67449298,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 23:18:19",2024-11-20,212,11286,9710
88722664,"Arm 5 Bucket",6.25,ZGMI,"2024-11-20 22:36:17",2024-11-20,213,11451,15503
