zpid,schoolName,schoolRating,type,gradeLevel,grades,distanceFromListing,link,lastUpdated,lsi_id,lnh_id
7985644,"Pinnacle High School",8,Public,Middle,7-12,0.6,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:36:42",469,NULL
7987297,"Pinnacle High School",8,Public,Middle,7-12,0.5,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:36:42",470,NULL
440006383,"Pinnacle High School",8,Public,Middle,7-12,1.9,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:36:42",471,NULL
440006383,"Pinnacle High School",8,Public,Middle,7-12,1.9,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:38:32",472,NULL
7987297,"Pinnacle High School",8,Public,Middle,7-12,0.5,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:38:32",473,NULL
28139394,"Smith Elementary School",1,Public,Elementary,1-5,0.8,https://www.greatschools.org/texas/houston/197-Smith-Academy/,"2024-11-20 23:54:07",474,12260
2106642332,"Smith Elementary School",1,Public,Elementary,1-5,0.5,https://www.greatschools.org/texas/houston/197-Smith-Academy/,"2024-11-20 23:54:07",475,12279
28485399,"Smith Elementary School",1,Public,Elementary,1-5,0.5,https://www.greatschools.org/texas/houston/197-Smith-Academy/,"2024-11-29 05:32:39",476,NULL
7989582,"Pinnacle High School",8,Public,Middle,7-12,1.4,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:38:32",477,NULL
7988037,"Pinnacle High School",8,Public,Middle,7-12,0.5,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:38:32",478,NULL
7985644,"Pinnacle High School",8,Public,Middle,7-12,0.6,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:38:32",479,NULL
7989582,"Pinnacle High School",8,Public,Middle,7-12,1.4,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:39:45",480,NULL
440006383,"Pinnacle High School",8,Public,Middle,7-12,1.9,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:39:45",481,NULL
7988037,"Pinnacle High School",8,Public,Middle,7-12,0.5,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:39:45",482,NULL
7987297,"Pinnacle High School",8,Public,Middle,7-12,0.5,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:39:45",483,NULL
7985644,"Pinnacle High School",8,Public,Middle,7-12,0.6,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:39:45",484,NULL
