zpid,price,homeStatus,homeType,datePosted,streetAddress,city,state,zipcode,county,yearBuilt,livingArea,livingAreaUnits,rentZestimate,bathrooms,bedrooms,pageViewCount,favoriteCount,propertyTaxRate,timeOnZillow,dateSold,url,lastUpdated,pl_id,lsi_id,lph_id,ls_id
20768637,900000,"Recently Sold","Single Family",2024-11-08,"5924 Annan Way","Los Angeles",CA,90042,"Los Angeles County",1926,903,sqft,3006,1,2,100,5,1.16,9,2024-11-22,https://www.zillow.com/homedetails/5924-Annan-Way-Los-Angeles-CA-90042/20768637_zpid/,"2024-11-23 09:30:22",799,43300,21956,2496
48887958,790000,"Recently Sold","Single Family",2024-09-13,"4128 14th Avenue S",Seattle,WA,98108,"King County",1941,1980,sqft,3861,3,3,632,57,0.77,9,2024-11-22,https://www.zillow.com/homedetails/4128-14th-Ave-S-Seattle-WA-98108/48887958_zpid/,"2024-11-23 09:30:22",800,22078,41643,2596
19964548,1170000,"Recently Sold","Single Family",2024-10-10,"17049 Enadia Way","Van Nuys",CA,91406,"Los Angeles County",1949,1956,sqft,4974,2,3,276,6,1.16,9,2024-11-22,https://www.zillow.com/homedetails/17049-Enadia-Way-Van-Nuys-CA-91406/19964548_zpid/,"2024-11-23 09:30:22",801,46976,13402,2396
245049246,289000,"For Sale",Condo,2024-11-28,"2940 W 5th St #5N",Brooklyn,NY,11224,"Kings County",1964,750,sqft,3396,1,1,86,4,0,NULL,NULL,https://www.zillow.com/homedetails/2940-W-5th-St-5N-Brooklyn-NY-11224/245049246_zpid/,"2024-11-29 05:32:39",802,33977,93669,8331
2077488787,350000,"Recently Sold","Single Family",2024-08-15,"1900 Westlake Avenue N UNIT B-17",Seattle,WA,98109,"King County",1980,778,sqft,2362,1,2,373,11,0.77,9,2024-11-22,https://www.zillow.com/homedetails/1900-Westlake-Ave-N-B17-Seattle-WA-98109/2077488787_zpid/,"2024-11-23 09:30:22",803,24134,41639,2999
79802584,860000,"Recently Sold",Condo,2024-10-08,"4202 Whitsett Ave APT 104","Studio City",CA,91604,"Los Angeles County",2007,1280,sqft,3474,2,2,326,24,1.16,9,2024-11-22,https://www.zillow.com/homedetails/4202-Whitsett-Ave-APT-104-Studio-City-CA-91604/79802584_zpid/,"2024-11-23 09:30:22",804,44429,13456,2232
67685162,290000,"Recently Sold",Condo,2024-09-12,"1526 Aurora Avenue N UNIT B",Seattle,WA,98109,"King County",1946,1020,sqft,2816,1,2,68,3,0.77,9,2024-11-22,https://www.zillow.com/homedetails/1526-Aurora-Ave-N-APT-B-Seattle-WA-98109/67685162_zpid/,"2024-11-23 09:30:22",805,24136,41600,2076
20019753,2040000,"Recently Sold","Single Family",2024-10-03,"4948 Radford Ave","Valley Village",CA,91607,"Los Angeles County",1936,2878,sqft,7206,3,4,129,2,1.16,9,2024-11-22,https://www.zillow.com/homedetails/4948-Radford-Ave-Valley-Village-CA-91607/20019753_zpid/,"2024-11-23 09:30:22",806,44427,13764,2119
49046155,1150000,"Recently Sold","Single Family",2024-11-02,"4914 SW Stevens Street",Seattle,WA,98116,"King County",1951,1620,sqft,3766,3,3,2546,187,0.77,9,2024-11-22,https://www.zillow.com/homedetails/4914-SW-Stevens-St-Seattle-WA-98116/49046155_zpid/,"2024-11-23 09:30:22",807,24066,41629,2385
16855240,2350000,"Recently Sold","Single Family",2024-10-03,"5851 Box Canyon Rd","La Jolla",CA,92037,"San Diego County",1960,2023,sqft,7726,2,4,149,3,1.17,9,2024-11-22,https://www.zillow.com/homedetails/5851-Box-Canyon-Rd-La-Jolla-CA-92037/16855240_zpid/,"2024-11-23 09:30:22",808,29212,50387,2434
2095973115,949950,"Recently Sold",Townhouse,2024-10-15,"3810 California Avenue SW UNIT A",Seattle,WA,98116,"King County",2016,1931,sqft,4389,3,3,140,3,0.77,9,2024-11-22,https://www.zillow.com/homedetails/3810-California-Ave-SW-A-Seattle-WA-98116/2095973115_zpid/,"2024-11-23 09:30:22",809,24076,41681,2299
318294664,2400000,"Recently Sold",Condo,2024-09-20,"888 W E St #2001","San Diego",CA,92101,"San Diego County",2018,1770,sqft,6668,3,3,199,7,1.17,9,2024-11-22,https://www.zillow.com/homedetails/888-W-E-St-2001-San-Diego-CA-92101/318294664_zpid/,"2024-11-23 09:30:22",810,48668,23716,2401
20335316,880000,"Recently Sold","Single Family",2024-02-06,"4312 W 58th Pl","Los Angeles",CA,90043,"Los Angeles County",1939,1704,sqft,4171,2,3,43,1,1.16,9,2024-11-22,https://www.zillow.com/homedetails/4312-W-58th-Pl-Los-Angeles-CA-90043/20335316_zpid/,"2024-11-23 09:30:22",811,32251,13448,1956
48939919,995000,Pending,"Single Family",2024-11-20,"8318 28th Ave NW",Seattle,WA,98117,"King County",NULL,NULL,NULL,3944,1,4,45,0,0.77,72,NULL,https://www.zillow.com/homedetails/8318-28th-Ave-NW-Seattle-WA-98117/48939919_zpid/,"2024-11-23 09:30:22",812,26253,41633,2990
